Country, Visitors
New Zealand, 1216
Japan, 314
Hong Kong, 189
Singapore, 325
Malaysia, 169
Indonesia, 190
Taiwan, 128
Thailand, 90
Vietnam, 166
Philippines, 156
Korea, 301
China, 681
India, 390
United States of America, 663
Canada, 155
United Kingdom, 578
Germany, 151
Scandinavia, 79
France, 114
Italy, 62
Netherlands, 50
Switzerland, 40
